observed_on,description,scientific_name,common_name,taxon_order_name,taxon_family_name,field:perching on
01/01/2022,,Apis mellifera,Western Honey Bee,Hymenoptera,Apidae,
01/01/2022,,Typhaeus typhoeus,Minotaur Beetle,Coleoptera,Geotrupidae,
01/01/2022,,Cornu aspersum,Garden Snail,Stylommatophora,Helicidae,
01/01/2022,,Bombus terrestris,Buff-tailed Bumble Bee,Hymenoptera,Apidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Eurydema oleracea,Cabbage Bug,Hemiptera,Pentatomidae,
01/01/2022,,Gymnoscelis rufifasciata,Double-striped Pug,Lepidoptera,Geometridae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Nigma puella,Bleeding Heart Spider,Araneae,Dictynidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Elasmostethus interstinctus,Birch Shield Bug,Hemiptera,Acanthosomatidae,
01/01/2022,On porch wall,Psychoides filicivora,Fern Smut,Lepidoptera,Tineidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Cyclosa conica,Conical Trashline Orbweaver,Araneae,Araneidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Oak (Quercus sp),Graphopsocus cruciatus,F-winged Barklouse,Psocodea,Stenopsocidae,
01/01/2022,Beaten from Oak (Quercus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
01/01/2022,Beaten from Oak (Quercus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Oak (Quercus sp),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Cartodere bifasciata,,Coleoptera,Latridiidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Pentatoma rufipes,Forest Bug,Hemiptera,Pentatomidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
01/01/2022,Beaten from Holm Oak (Quercus ilex),Opilio canestrinii,Canestrini's Harvestman,Opiliones,Phalangiidae,
03/01/2022,,Polistichus connexus,,Coleoptera,Carabidae,
02/01/2022,,Dreissena bugensis,Quagga Mussel,Myida,Dreissenidae,
02/01/2022,,Ampullaceana balthica,Wandering Snail,,Lymnaeidae,
02/01/2022,,Planorbarius corneus,Great Ram's-horn,,Planorbidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Drapetisca socialis,Invisible Spider,Araneae,Linyphiidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Cartodere bifasciata,,Coleoptera,Latridiidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Gibbaranea gibbosa,Humped orbweb spider,Araneae,Araneidae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
03/01/2022,Beaten from Hawthorn (Crataegus sp),Cardiastethus fasciiventris,,Hemiptera,Anthocoridae,
04/01/2022,Beaten from Hawthorn (Crataegus sp),Norellia spinipes,,Diptera,Scathophagidae,
04/01/2022,Beaten from Hawthorn (Crataegus sp),Gibbaranea gibbosa,Humped orbweb spider,Araneae,Araneidae,
04/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
04/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
04/01/2022,Beaten from Hawthorn (Crataegus sp),Zilla diodia,Zilla Orbweaver,Araneae,Araneidae,
01/01/2022,,Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
05/01/2022,Beaten from Ivy (Hedera helix),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
05/01/2022,Beaten from Ivy (Hedera helix),Neriene montana,Old World Dome Sheetweaver,Araneae,Linyphiidae,
05/01/2022,Beaten from Ivy (Hedera helix),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
05/01/2022,Beaten from Ivy (Hedera helix),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
05/01/2022,Beaten from Ivy (Hedera helix),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
05/01/2022,Beaten from Ivy (Hedera helix),Kleidocerys resedae,Birch Catkin Bug,Hemiptera,Lygaeidae,
06/01/2022,,Phytomyza,,Diptera,Agromyzidae,
06/01/2022,Beaten from Hawthorn (Crataegus sp),Zilla diodia,Zilla Orbweaver,Araneae,Araneidae,
06/01/2022,Beaten from Ivy (Hedera helix),Pinalitus cervinus,,Hemiptera,Miridae,
06/01/2022,Beaten from Ivy (Hedera helix),Pinalitus cervinus,,Hemiptera,Miridae,
06/01/2022,Beaten from Ivy (Hedera helix),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
06/01/2022,Beaten from Reed (Phragmitis australis),Valenzuela flavidus,yellow barklouse,Psocodea,Caeciliusidae,
07/01/2022,,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
07/01/2022,,Pyrausta aurata,Mint Moth,Lepidoptera,Crambidae,
07/01/2022,Beaten from Cherry Laurel (Prunus laurocerasus) in garden ,Harmonia axyridis,Harlequin Ladybird,Coleoptera,Coccinellidae,
07/01/2022,Beaten from Cherry Laurel (Prunus laurocerasus) in garden ,Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
07/01/2022,Beaten from Cherry Laurel (Prunus laurocerasus) in garden ,Anyphaena numida,,Araneae,Anyphaenidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Pentatoma rufipes,Forest Bug,Hemiptera,Pentatomidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Gibbaranea gibbosa,Humped orbweb spider,Araneae,Araneidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Nigma puella,Bleeding Heart Spider,Araneae,Dictynidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Mecinus pascuorum,,Coleoptera,Curculionidae,
07/01/2022,Beaten from Hawthorn (Crataegus sp),Rhyzobius chrysomeloides,Round-keeled Rhyzobius,Coleoptera,Coccinellidae,
07/01/2022,On rotting wood ,Deroceras reticulatum,Netted Field Slug,Stylommatophora,Agriolimacidae,
08/01/2022,,Steatoda nobilis,Noble False Widow,Araneae,Theridiidae,
08/01/2022,,Propylea quatuordecimpunctata,14-spot Ladybird,Coleoptera,Coccinellidae,
09/01/2022,Beaten from Hawthorn (Crataegus sp),Physatocheila dumetorum,hawthorn lacebug,Hemiptera,Tingidae,
09/01/2022,Beaten from Hawthorn (Crataegus sp),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
09/01/2022,Beaten from Ivy (Hedera helix),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
09/01/2022,,Araneus diadematus,European Garden Spider,Araneae,Araneidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Chrysoperla carnea,carnea-group Green Lacewings,Neuroptera,Chrysopidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Drosophila suzukii,Spotted-winged Drosophila,Diptera,Drosophilidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Cyclosa conica,Conical Trashline Orbweaver,Araneae,Araneidae,
09/01/2022,Beaten from Holm Oak (Quercus ilex),Diaea dorsata,Eurasian Green Crab Spider,Araneae,Thomisidae,
09/01/2022,Beaten from Yew (Taxus baccata),Adalia decempunctata,10-spot Ladybird,Coleoptera,Coccinellidae,
09/01/2022,Beaten from Yew (Taxus baccata),Gonocerus acuteangulatus,Box Bug,Hemiptera,Coreidae,
09/01/2022,Beaten from Yew (Taxus baccata),Halyzia sedecimguttata,Orange Ladybird,Coleoptera,Coccinellidae,
