observed_on,description,scientific_name,common_name,taxon_id,taxon_order_name,taxon_family_name,field:method of surveying for invertebrates,field:perching on
2020-07-12,"",Colletes,Cellophane Bees,127741,Hymenoptera,Colletidae,,
2020-07-12,"",Maniola jurtina,Meadow Brown,55653,Lepidoptera,Nymphalidae,,
2020-07-12,,Gymnosoma,,154311,Diptera,Tachinidae,,
2020-07-12,,Sicus ferrugineus,Ferruginous Bee-Grabber,70175,Diptera,Conopidae,,
2020-07-12,Caught in sweep net,Subcoccinella vigintiquatuorpunctata,24-spot Ladybird,61937,Coleoptera,Coccinellidae,,
2020-07-12,,Thymelicus sylvestris,Small Skipper,128544,Lepidoptera,Hesperiidae,,
2020-07-12,,Sicus ferrugineus,Ferruginous Bee-Grabber,70175,Diptera,Conopidae,,
2020-07-12,,Myathropa florea,Batman Hoverfly,70211,Diptera,Syrphidae,,
2020-07-12,,Oedemera nobilis,Thick-legged Flower Beetle,61844,Coleoptera,Oedemeridae,,
2020-07-12,,Cistogaster globosa,,710057,Diptera,Tachinidae,,
2020-07-12,,Crocallis elinguaria,Scalloped Oak,124696,Lepidoptera,Geometridae,,
2020-07-14,"",Volucella zonaria,Hornet Mimic Hover Fly,343983,Diptera,Syrphidae,,
2020-07-14,,Harmonia axyridis,Harlequin Ladybird,48484,Coleoptera,Coccinellidae,,
2020-07-16,,Adalia bipunctata,2-spot Ladybird,52506,Coleoptera,Coccinellidae,,
2020-07-16,,Adalia bipunctata,2-spot Ladybird,52506,Coleoptera,Coccinellidae,,
2020-07-16,,Coccinella septempunctata,7-spot ladybird,51702,Coleoptera,Coccinellidae,,
2020-07-16,,Diptera,Flies,47822,Diptera,,,
2020-07-16,,Andrena,Mining Bees,57669,Hymenoptera,Andrenidae,,
2020-07-16,,Harmonia axyridis,Harlequin Ladybird,48484,Coleoptera,Coccinellidae,,
2020-10-23,,Issus coleoptratus,,141761,Hemiptera,Issidae,,
2021-04-17,NE facing brick wall. ~1m above ground,Esperia sulphurella,Sulphur Tubic,325665,Lepidoptera,Oecophoridae,,
2021-04-19,,Phlogophora meticulosa,Angle Shades,205151,Lepidoptera,Noctuidae,,
2021-04-19,"",Kleidocerys resedae,Birch Catkin Bug,261586,Hemiptera,Lygaeidae,,
2021-04-19,,Cucujiformia,Cucujiform Beetles,372852,Coleoptera,,,
2021-04-18,,Pisaura mirabilis,European Nursery Web spider,55787,Araneae,Pisauridae,,
2021-04-18,,Misumena vatia,Goldenrod Crab Spider,55746,Araneae,Thomisidae,,
2021-04-16,,Pisaura mirabilis,European Nursery Web spider,55787,Araneae,Pisauridae,,
2021-04-17,,Calvia quatuordecimguttata,Cream-spot Ladybird,69203,Coleoptera,Coccinellidae,,
2021-04-23,,Schizophora,Schizophoran Flies,48089,Diptera,,,
2021-04-23,,Nematocera,Nematoceran Flies,154259,Diptera,,,
2021-04-23,,Adalia decempunctata,10-spot Ladybird,130414,Coleoptera,Coccinellidae,,
2021-04-23,,Ectopsocus,,252535,Psocodea,Ectopsocidae,,
2021-04-23,,Anthomyiidae,Root-maggot Flies,49996,Diptera,Anthomyiidae,,
2021-04-23,,Kleidocerys resedae,Birch Catkin Bug,261586,Hemiptera,Lygaeidae,,
2021-04-22,"",Apis mellifera,Western Honey Bee,47219,Hymenoptera,Apidae,,
2021-04-22,"",Ceutorhynchus pallidactylus,Cabbage Stem Weevil,455826,Coleoptera,Curculionidae,,
2021-04-22,,Myathropa florea,Batman Hoverfly,70211,Diptera,Syrphidae,,
2021-04-22,,Oxychilus draparnaudi,Draparnaud's Glass Snail,226720,Stylommatophora,Oxychilidae,,
2021-04-22,,Euleia heraclei,Celery Fly,466780,Diptera,Tephritidae,,
2021-04-22,"",Eristalis pertinax,Tapered Drone Fly,52490,Diptera,Syrphidae,,
2021-04-22,,Agromyzidae,Leaf-miner Flies,48086,Diptera,Agromyzidae,,
2021-04-22,,Phaonia subventa,,243559,Diptera,Muscidae,,
2021-04-22,,Torymidae,,203199,Hymenoptera,Torymidae,,
2021-04-22,Searching on it's own in leaf litter under shrubs.,Nomada,Nomad Bees,53648,Hymenoptera,Apidae,,
2021-04-22,,Nebria brevicollis,European Gazelle Beetle,126988,Coleoptera,Carabidae,,
